NCTId,BriefTitle,Condition,EnrollmentCount,StartDate,LastUpdatePostDate,Location,LeadSponsorName,OverallStatus,StudyType,TherapeuticMatch,PhaseMatch,InterventionMatch,RegionMatch,MatchScore,DataQuality,CompletedRatio,completeness,recency_score,enrollment_score,completeness_score,score,score_pct
NCT04416477,Duration of Immunity 10 Years After a Dose-response Study With Yellow Fever Vaccine - Complementary Study,Yellow Fever Vaccine,255,2019-04-08,2020-06-04,Unknown,The Immunobiological Technology Institute (Bio-Manguinhos) / Oswaldo Cruz Foundation (Fiocruz),UNKNOWN,OBSERVATIONAL,0.020584494295802447,0.7722447692966574,0.417411003148779,0.09310276780589921,0.2647855057685881,0.8,0.0,0.0,0.004479610500972116,0.41096274403917715,0.0,0.12463270636204477,24.603983378106047
NCT03799237,"Combating Dengue With Innovative, Paradigm-shift-Strategies: Early Dengue Surveillance in Adult Aedes Mosquitoes",Dengue,7979,2018-10-01,2019-01-10,Unknown,Jonathan Liew Wee Kent,UNKNOWN,INTERVENTIONAL,0.9699098521619943,0.1987156815341724,0.22210781047073025,0.8972157579533268,0.6515717908564437,0.8,0.0,0.0,0.0011046583491806624,0.6658712746969331,0.0,0.20009277991383412,39.50760288835396
NCT02606019,The Use of Biomarkers in Predicting Dengue Outcome,Dengue,108,2015-10,2016-10-25,Unknown,Universiti Tunku Abdul Rahman,UNKNOWN,OBSERVATIONAL,0.8324426408004217,0.005522117123602399,0.1198653673336828,0.9004180571633305,0.5381381646442919,0.8,0.0,0.0,0.00012106559132261925,0.3476839502841589,0.0,0.10434150476264445,20.596402497130015
NCT03847870,Rickettsiae in Myanmar,Rickettsiae Infections,700,2019-06-20,2020-01-13,Unknown,Myanmar Oxford Clinical Research Unit,COMPLETED,OBSERVATIONAL,0.21233911067827616,0.8154614284548342,0.33761517140362796,0.6331014572732679,0.4421712556976565,0.8,0.0,0.0,0.0030275547453758153,0.48561775498724724,0.0,0.1465935929197869,28.941332680312577
NCT06599970,Improving Disease Prevention Strategies by Integrating Socio-spatial Characterization of Human Mobility,"Dengue, Arbovirus Infections, Epidemic Disease, Behavior, Health",810,2024-06-01,2024-09-19,Unknown,"Institute of Tropical Medicine, Belgium",RECRUITING,OBSERVATIONAL,0.18182496720710062,0.7068573438476171,0.9429097039125192,0.3390297910487007,0.4704893546446076,0.8,0.0,0.0,0.32879238793305493,0.49642029446139496,0.0,0.24756380471833495,48.8832906944659
NCT03485144,A Clinical Study to Evaluate TV003 in Healthy Adults in Taiwan,Dengue,54,2017-12-12,2019-08-14,Unknown,Medigen Vaccine Biologics Corp.,COMPLETED,INTERVENTIONAL,0.18340450985343382,0.7290071680409873,0.32320293202075523,0.3492095746126609,0.3536457388762542,0.8,0.0,0.0,0.001996342832316262,0.29699043151845567,0.0,0.08969603230523158,17.703872198928085
NCT06898775,"Passive Safety Surveillance Data of Dengue Vaccine, Qdenga (TAK 003) in Private Vaccination Sites in Buenos Aires, Argentina.",Dengue Vaccines,112345,2023-11-01,2025-03-27,Unknown,Fundación Vacunar,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,0.3042422429595377,0.7712703466859457,0.5187906217433661,0.7259556788702394,0.5249002266437254,1.0,0.0,0.0,0.5518270770785375,0.861870513732022,0.0,0.4241092772431678,83.75161807505383
NCT05852977,Study of Dengue in Patients With Autoimmune Diseases During the Epidemics of 2020 and 2021 in Reunion Island,Dengue,90,2023-06,2023-05-10,Unknown,Centre Hospitalier Universitaire de la Réunion,NOT_YET_RECRUITING,OBSERVATIONAL,0.5247564316322378,0.07404465173409036,0.7030189588951778,0.8971102599525771,0.5447373467692642,0.8,0.0,0.0,0.08401899886345135,0.33430764287243825,0.0,0.12549799252076688,24.774880318303534
NCT05893134,Identification of Risk Determinants of Dengue Transmission Through Landscape Analysis,Dengue,196,2023-06-01,2024-03-05,Unknown,Instituto Mexicano del Seguro Social,COMPLETED,OBSERVATIONAL,0.43194501864211576,0.3584657285442726,0.363629602379294,0.8870864242651173,0.49461435849458313,0.8,0.0,0.0,0.19113132523076512,0.3915474163665744,0.0,0.17480362247920186,34.51290884154994
NCT02831699,"The Evaluation of Potential Zika, Chikungunya, and Dengue Infections in Mexico","Zika Virus Disease (Disorder), Dengue, Chikungunya",600,2016-06-21,2020-12-17,Unknown,Mexican Emerging Infectious Diseases Clinical Research Network,COMPLETED,OBSERVATIONAL,0.2912291401980419,0.11586905952512971,0.9717820827209607,0.7798755458576239,0.48999699369995964,0.8,0.0,0.0,0.007663910803831025,0.4742109984072052,0.0,0.14456247276331086,28.54017958614101
NCT01843621,A Phase I/II Trial of a Tetravalent Live Attenuated DEN Vaccine in Flavivirus Antibody Naive Children,Dengue,7,2005-02,2018-11-26,Unknown,U.S. Army Medical Research and Development Command,COMPLETED,INTERVENTIONAL,0.6118528947223795,0.8631034258755935,0.9624472949421112,0.6420316461542878,0.7382576312833504,0.8,0.0,0.0,0.0009765282782211018,0.15411102901469143,0.0,0.04652626718787376,9.177697715221694
NCT03831503,A Study of INO-A002 in Healthy Dengue Virus-naive Adults,Healthy Volunteers,30,2019-02-07,2023-12-14,Unknown,University of Pennsylvania,COMPLETED,INTERVENTIONAL,0.13949386065204183,0.6232981268275579,0.25178229582536416,0.08413996499504883,0.24764162179041094,0.8,0.0,0.0,0.15267373968504938,0.25449876377816966,0.0,0.1221517510389657,24.113986318512435
NCT01931176,Evaluating the Safety and Immune Response to a Dengue Virus Vaccine in Healthy Adults,Dengue,14,2013-06,2015-12-15,Unknown,National Institute of Allergy and Infectious Diseases (NIAID),COMPLETED,INTERVENTIONAL,0.29214464853521815,0.3308980248526492,0.49724850589238545,0.16162871409461377,0.3148129083820169,0.8,0.0,0.0,5.1076207245372526e-05,0.2006983099790165,0.0,0.060224815855878557,11.88320736530758
NCT05710224,"Clinical Bridging Study Between V181 (Dengue Quadrivalent Vaccine rDENVΔ30 [Live, Attenuated]) to Butantan Dengue Vaccine (Butantan-DV) in Healthy Adults 18 to 50 Years of Age in Brazil (V181-002)",Dengue,1364,2023-02-15,2025-01-16,Unknown,Butantan Institute,COMPLETED,INTERVENTIONAL,0.3663618432936917,0.06355835028602363,0.30087830981676966,0.8985541885270792,0.39914290704345123,1.0,0.0,0.0,0.4555265074181627,0.5350059528514548,0.0,0.29715973808088525,58.67865512097636
NCT03110952,TDENV PIV and LAV Dengue Prime-boost Strategy Using AS03B Adjuvant,Dengue,0,2016-01,2017-04-12,Unknown,U.S. Army Medical Research and Development Command,WITHDRAWN,INTERVENTIONAL,0.45606998421703593,0.3109823217156622,0.2848404943774676,0.6064290596595899,0.42287836883735835,0.8,0.0,0.0,0.000192355683104006,0.0,0.0,5.7706704931201797e-05,0.0
NCT02809443,GLS-5700 in Dengue Virus-Naïve Adults,Healthy,40,2016-07,2024-12-24,Unknown,"GeneOne Life Science, Inc.",COMPLETED,INTERVENTIONAL,0.7851759613930136,0.32518332202674705,0.036886947354532795,0.009197051616629648,0.3883238487567873,1.0,0.0,0.0,0.4277077821818432,0.27521928414380525,0.0,0.2108781198976945,41.63774397942777
NCT06894901,Impact of IIT-SIT on Dengue Clusters,Dengue,900,2025-03-20,2025-03-25,Unknown,"National Environment Agency, Singapore",RECRUITING,INTERVENTIONAL,0.19967378215835974,0.7296061783380641,0.6095643339798968,0.1014715428660321,0.36799792390014247,1.0,0.0,0.0,0.5488116360940265,0.5042196066304793,0.0,0.31590937281735176,62.38177133748312
NCT06642493,Efficacy of Fresh Frozen Plasma (FFP) in Treating Thrombocytopenia in Dengue Patients,"Dengue Fever, Dengue Hemorrhagic Fever, Dengue Shock Syndrome",300,2024-05-01,2024-10-15,Unknown,Sheikh Hasina National Institute of Burn and Plastic Surgery,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,0.5142344384136116,0.6375574713552131,0.5026790232288615,0.6635017691080558,0.5664414281038708,0.8,0.0,0.0,0.35306754652986017,0.42296386696701627,0.0,0.2328094240490629,45.9692506564149
NCT02608047,"Studies on the Pathogen, Vector Control and Clinical Treatment of Dengue Fever in Guangzhou",Dengue Fever,2000,2014-10,2015-11-18,Unknown,Guangzhou 8th People's Hospital,UNKNOWN,OBSERVATIONAL,0.5924145688620425,0.8872127425763265,0.05147875124998935,0.005061583846218687,0.4257164430793239,0.8,0.0,0.0,4.743432745036163e-05,0.5633531466294726,0.0,0.16902017428707686,33.370658281013355
NCT04514107,A Cluster-randomized Trial to EValuate the Efficacy of Wolbachia-InfecTed Aedes Aegypti Mosquitoes in Reducing the Incidence of Arboviral Infection in Brazil (EVITA Dengue),Dengue Fever,5757,2020-09-09,2025-02-10,Unknown,National Institute of Allergy and Infectious Diseases (NIAID),COMPLETED,INTERVENTIONAL,0.046450412719997725,0.4722149251619493,0.27864646423661144,0.16080805141749865,0.20091405325121098,1.0,0.0,0.0,0.4878202802296086,0.6416850406138868,0.0,0.3388515962530486,66.91293798907738
NCT07013487,A Study to Evaluate V181 Dengue Vaccine in Healthy Participants 2 to 17 Years of Age (V181-005/MOBILIZE-1),Healthy,12000,2025-06-11,2025-10-27,Unknown,Merck Sharp & Dohme LLC,RECRUITING,INTERVENTIONAL,0.6075448519014384,0.1195942459383017,0.9082658859666537,0.5487337893665861,0.5583367250148836,1.0,0.0,0.0,0.9918145070108791,0.696112686058585,0.0,0.5063781579208393,100.0
NCT02794181,Zika Virus and Related Arbovirus Infections in Deferred Blood Donors (ZVADD),"Zika Virus, Dengue Virus, Chikungunya Virus Infections",34,2016-06-08,2019-03-18,Unknown,National Institutes of Health Clinical Center (CC),COMPLETED,OBSERVATIONAL,0.17052412368729153,0.713244787222995,0.23956189066697242,0.6918951976926933,0.39715002459144877,0.8,0.0,0.0,0.0013272348857000721,0.26349302794965657,0.0,0.07944607885060698,15.679471756479085
NCT04837430,NT-proBNP and Troponin I in Dengue Children,"Dengue Shock Syndrome, Children, Only",90,2021-04-02,2023-09-22,Unknown,Le Phuoc Truyen,UNKNOWN,OBSERVATIONAL,0.06505159298527952,0.7607850486168974,0.1448948720912231,0.6519612595026005,0.33754887323625604,0.8,0.0,0.0,0.12162055145329097,0.33430764287243825,0.0,0.13677845829771876,27.002810426570406
NCT05505682,Impact of Project Wolbachia - Singapore on Dengue Incidence,Dengue,724428,2022-07-28,2025-05-22,Unknown,"National Environment Agency, Singapore",COMPLETED,INTERVENTIONAL,0.9488855372533332,0.5612771975694962,0.489452760277563,0.22426930946055978,0.6345540683628572,1.0,0.0,0.0,0.643331014339809,1.0,0.0,0.4929993043019427,97.35763120238028
NCT05268302,Dengue 4 Human Infection Model (Dengue CVD 11000; DHIM-4),Dengue,20,2022-02-28,2025-04-17,Unknown,"University of Maryland, Baltimore",COMPLETED,INTERVENTIONAL,0.9656320330745594,0.770967179954561,0.9856504541106007,0.7121792213475359,0.8800121843123633,1.0,0.0,0.0,0.5845071290147134,0.22563485259453075,0.0,0.2430425944827732,47.99033639552256
NCT06799741,A Study to Evaluate the Safety and Efficacy of AV-1 Against Dengue Virus 3 (DENV-3) Infection,DENV-3 Controlled Human Infection Model,85,2025-01-07,2025-10-20,Unknown,AbViro LLC,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,0.8083973481164611,0.49379559636439074,0.2420552715115004,0.23724908749680007,0.5179789303211227,1.0,0.0,0.0,0.97297464056654,0.330119424689328,0.0,0.3909282195767604,77.19824706530606
NCT02572518,Immunity After Two Doses of Yellow Fever Vaccine,Yellow Fever,440,2014-05,2015-10-12,Unknown,The Immunobiological Technology Institute (Bio-Manguinhos) / Oswaldo Cruz Foundation (Fiocruz),COMPLETED,OBSERVATIONAL,0.3046137691733707,0.5227328293819941,0.6721355474058786,0.3253996981592677,0.4258991226587764,0.8,0.0,0.0,4.286159962263231e-05,0.4512697051890615,0.0,0.13539377003660524,26.72932981606213
NCT02107677,Specificity Study of Diagnostic for Early Detection of Dengue Infection,Infectious Diseases,300,2012-08,2017-08-18,Unknown,"InBios International, Inc.",COMPLETED,OBSERVATIONAL,0.09767211400638387,0.42754101835854963,0.7616196153287176,0.7464914051180241,0.42619925336361186,0.8,0.0,0.0,0.00027315273453684463,0.42296386696701627,0.0,0.12697110591046593,25.06582519050086
NCT04695886,Effectiveness of a Community-delivered Integrated Malaria Elimination (CIME) Model in Myanmar,Malaria,6440,2021-01,2021-01-05,Unknown,Macfarlane Burnet Institute for Medical Research and Public Health Ltd,UNKNOWN,INTERVENTIONAL,0.6842330265121569,0.02541912674409519,0.23763754399239967,0.6496328990472147,0.4562311245616047,0.8,0.0,0.0,0.008073420100605543,0.6499924933915339,0.0,0.1974197740476418,38.97967519754605
NCT05048875,An Evaluation of Repeated Oral Doses of JNJ-64281802 Against DENV-3 Challenge,Dengue,56,2022-02-03,2025-04-24,Unknown,National Institute of Allergy and Infectious Diseases (NIAID),COMPLETED,INTERVENTIONAL,0.4401524937396013,0.10789142699330445,0.7282163486118596,0.8492234104941779,0.513127234715709,1.0,0.0,0.0,0.595825035758911,0.29963756073748216,0.0,0.2686387789489179,53.04566931851165
NCT02569827,Celgosivir or Modipafant as Treatment for Adult Participants With Uncomplicated Dengue Fever in Singapore,Dengue Fever,0,2018-12,2020-03-23,Unknown,Singapore General Hospital,WITHDRAWN,INTERVENTIONAL,0.12203823484477883,0.03142918568673425,0.3677831327192532,0.6576128923003434,0.2601803360791777,0.8,0.0,0.0,0.0036675948789569356,0.0,0.0,0.0011002784636870806,0.20591144526202426
NCT01511250,Study to Investigate the Safety and Immunogenicity of a Tetravalent Chimeric Dengue Vaccine in Healthy Volunteers Between the Ages of 1.5 - 45 Years,Healthy,360,2011-11-16,2023-04-12,Unknown,Takeda,COMPLETED,INTERVENTIONAL,0.4951769101112702,0.6364104112637804,0.6323058305935795,0.5683086033354716,0.5654757330830744,0.8,0.0,0.0,0.07781472039493754,0.4364349868510736,0.0,0.15427491217380335,30.458419188584177
NCT03641339,Defining Skin Immunity of a Bite of Key Insect Vectors in Humans,"Zika, Dengue, Malaria, Chikungunya, Leishmaniasis",95,2018-09-05,2021-12-08,Unknown,National Institute of Allergy and Infectious Diseases (NIAID),COMPLETED,INTERVENTIONAL,0.034388521115218396,0.3143559810763267,0.6335297107608947,0.09367476782809248,0.22206750037915013,0.8,0.0,0.0,0.020325268547652812,0.33827178233643107,0.0,0.10757911526522515,21.23584151145498
NCT06595745,Testing Combined IIT-SIT to Control Mosquito-Borne Diseases At Scale,"Dengue, Zika, Chikungunya",15243,2024-05-28,2024-09-19,Unknown,Michigan State University,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,0.9093204020787821,0.5085706911647028,0.5357746840747585,0.3677158030594335,0.6461403964912918,0.8,0.0,0.0,0.32879238793305493,0.7138399178539968,0.0,0.3127896917361155,61.765623782363726
NCT04299412,Diagnostic Accuracy of the DPP II Assay,"Acute Febrile Illness, Melioidosis, Diagnoses Disease",104,2019-10-28,2023-11-30,Unknown,"Foundation for Innovative New Diagnostics, Switzerland",COMPLETED,OBSERVATIONAL,0.2587799816000169,0.907566473926093,0.0902897700544083,0.26520236768172545,0.35612371497245215,0.8,0.0,0.0,0.14692864485854656,0.3449130952616019,0.0,0.14755252203604455,29.130724421048075
NCT03188731,ZIKAlliance Pregnant Women Cohort,"Zika Virus, Pregnancy Related",3852,2017-05-24,2022-05-24,Unknown,University of Heidelberg Medical Center,COMPLETED,OBSERVATIONAL,0.662522284353982,0.24929222914887494,0.835302495589238,0.24398964337908358,0.5307257873650321,0.8,0.0,0.0,0.03211743774590547,0.6119115293920142,0.0,0.1932086901413759,38.1479718965727
NCT01702857,A Two-dose Primary Vaccination Study of a Tetravalent Dengue Virus Purified Inactivated Vaccine vs. Placebo in Healthy Adults (in Puerto Rico),Dengue Fever,100,2012-11,2017-05-23,Unknown,U.S. Army Medical Research and Development Command,COMPLETED,INTERVENTIONAL,0.31171107608941095,0.41038292303562973,0.32078006497173583,0.9730105547524456,0.4655191389877266,0.8,0.0,0.0,0.000215223052003445,0.34203460766810456,0.0,0.10267494921603239,20.267252145290602
NCT00384670,A Phase I/II Trial of a Tetravalent Live Attenuated Dengue Vaccine in Flavivirus Antibody Naïve Children,Dengue Fever,7,2003-08,2014-02-24,Unknown,U.S. Army Medical Research and Development Command,COMPLETED,INTERVENTIONAL,0.5200680211778108,0.7555511385430487,0.18651851039985423,0.3930977246667604,0.475060683193057,0.8,0.0,0.0,8.396704648160287e-06,0.15411102901469143,0.0,0.046235827715801876,9.120334938076427
NCT05611710,Anakinra in Dengue With Hyperinflammation ( AnaDen ),"Dengue, Dengue With Warning Signs, Severe Dengue, Anakinra, Immuno-modulation, Anti-inflammatory Agents, Macrophage Activation Syndrome, Hyperinflammatory Syndrome, Cytokine Storm",160,2023-01-02,2024-11-22,Unknown,"Oxford University Clinical Research Unit, Vietnam",RECRUITING,INTERVENTIONAL,0.5467102793432796,0.22879816549162246,0.040775141554763916,0.8920465551771133,0.4510080841820118,1.0,0.0,0.0,0.391806845629302,0.37659171456913765,0.0,0.2305195680595319,45.51699636093226
NCT01506570,Evaluating the Safety and Immune Response to Two Admixtures of a Tetravalent Dengue Virus Vaccine,Dengue,58,2011-12,2015-08-20,Unknown,National Institute of Allergy and Infectious Diseases (NIAID),COMPLETED,INTERVENTIONAL,0.18485445552552704,0.07697990982879299,0.5908929431882418,0.6311386259972629,0.3337440780130704,0.8,0.0,0.0,3.7068621569309706e-05,0.3021933912210919,0.0,0.09066913795279836,17.896063852500422
NCT02628444,Immunogenicity and Safety of Different Vaccination Schedules of Tetravalent Dengue Vaccine in Healthy Subjects 9 to 50 Years of Age,"Dengue Fever, Dengue Hemorrhagic Fever",1050,2016-05-02,2022-03-24,Unknown,"Sanofi Pasteur, a Sanofi Company",COMPLETED,INTERVENTIONAL,0.9695846277645586,0.289751452913768,0.6775643618422824,0.7948113035416484,0.7402592747653631,0.8,0.0,0.0,0.027174412861120798,0.5156322299527977,0.0,0.16284199284417555,32.15044656962294
NCT06539325,Rapid Molecular Diagnosis and Detection of Emerging Infectious Diseases in Patients With Tropical Fever (Tropifever),Infectious Diseases in Febrile Patients Returning From Tropical Countries,564,2024-08-26,2025-06-06,Unknown,Assistance Publique - Hôpitaux de Paris,RECRUITING,INTERVENTIONAL,0.7751328233611146,0.16122128725400442,0.016587828927856152,0.5026370931051921,0.4461423712018564,1.0,0.0,0.0,0.6703200460356393,0.4696331753211229,0.0,0.34198596640702866,67.53198668569887
NCT04615364,Genetic Evolution of Arboviruses in New Caledonia Between 1995 and 2024 and Impact of Wolbachia,"Arbovirus Infections, Dengue, Zika, Chikungunya",600,2020-07-17,2024-05-23,Unknown,Institut Pasteur,RECRUITING,OBSERVATIONAL,0.9394989415641891,0.9296976523425731,0.512093058299281,0.5769038846263591,0.7795384956793183,0.8,0.0,0.0,0.23731754925840828,0.4742109984072052,0.0,0.21345856429968402,42.14739046828531
NCT00880893,Study of Sanofi Pasteur's CYD Dengue Vaccine in Healthy Subjects in Singapore,"Dengue Fever, Dengue Hemorrhagic Fever, Dengue Virus, Dengue Diseases",1198,2009-04-07,2022-03-21,Unknown,"Sanofi Pasteur, a Sanofi Company",COMPLETED,INTERVENTIONAL,0.8948273504276488,0.808120379564417,0.22649577519793795,0.4925176938188639,0.6633577098873034,0.8,0.0,0.0,0.02695197689516261,0.5253961391355434,0.0,0.1657044348092118,32.7157885300676
NCT03141138,Comparison of Tetravalent Dengue Virus Purified Inactivated Vaccine and Tetravalent Dengue Virus Live Attenuated Vaccine,Dengue Virus,40,2017-11-08,2021-03-26,Unknown,U.S. Army Medical Research and Development Command,UNKNOWN,INTERVENTIONAL,0.5978999788110851,0.6334037565104235,0.6451727904094499,0.1952429877980445,0.5339238984680177,0.8,0.0,0.0,0.010051835744633586,0.27521928414380525,0.0,0.08558133596653165,16.89120576824794
NCT03869060,Expansion of a Dengue-1 Live Virus Human Challenge,Dengue,9,2019-03-11,2024-04-11,Unknown,State University of New York - Upstate Medical University,COMPLETED,INTERVENTIONAL,0.9218742350231168,0.8714605901877177,0.17436642900499144,0.7224521152615053,0.7224055209000896,0.8,0.0,0.0,0.21152234043618023,0.17064858567196833,0.0,0.11465127783244457,22.63261751570997
NCT07119086,Factors Associated With Hospitalization and Severity of Arbovirosis in the Indian Ocean,Arbovirus Disease,200,2025-06-02,2025-08-12,Unknown,Centre Hospitalier Universitaire de la Réunion,RECRUITING,INTERVENTIONAL,0.0884925020519195,0.8036720768991145,0.690937738102466,0.2807723624408558,0.39047343630925513,1.0,0.0,0.0,0.8053821802392191,0.39303714972405995,0.0,0.35952579898898374,70.99616288870111
NCT05153018,Population Immunity AgaiNst mosquitO-borne Diseases in Vanuatu,"Arbovirus Disease, Zika, Dengue, Ross River, Chikungunya, COVID-19",1122,2022-10-17,2024-05-23,Unknown,Institut Pasteur,COMPLETED,INTERVENTIONAL,0.1959828624191452,0.18657005888603584,0.3867353463005374,0.02431596643145384,0.1979174192912635,0.8,0.0,0.0,0.23731754925840828,0.5205429911684212,0.0,0.22735816212804882,44.89260800689855
NCT06917001,Clinical Trial Evaluating Safety and Efficacy of Resomelagon on Dengue Infection (RESOVIR-2),Dengue Fever,120,2026-02,2025-08-28,Unknown,Federal University of Minas Gerais,NOT_YET_RECRUITING,INTERVENTIONAL,0.045227288910538066,0.8925589984899778,0.9367299887367345,0.6454722959071678,0.5130431721909913,1.0,0.0,0.0,0.8414718317851063,0.355424377702769,0.0,0.3590688628463626,70.90591645652088
NCT07028411,"The Effectiveness of the Board Game on Primary Healthcare Nurses' Knowledge, Attitudes, and Confidence in Dengue-related Practice","Knowledge, Attitude, Confidence, Self",82,2025-08-08,2025-08-27,Unknown,Taipei Medical University,RECRUITING,INTERVENTIONAL,0.32533033076326434,0.5393422419156507,0.13752094414599325,0.17711067940704894,0.3009269053990443,1.0,0.0,0.0,0.8391695847094347,0.327487962258036,0.0,0.34999726409024123,69.1142450487521
